text,label
FMA INC ROCHESTER HIL MI,8
"M-24 & SILVERBELL, INC LAKE ORION MI",8
KROGER FUEL #9754 SHELBY TOWNSH MI,8
SHELL OIL 12734932002 CLARKSTON MI,8
MEIJER # 253 FUEL EAST LANSING MI,8
KROGER FUEL #9651 CLARKSTON MI,8
KROGER FUEL #9754 SHELBY TOWNSH MI,8
KROGER FUEL #9888 LANSING MI,8
HEATHER ENTERPRISES IN ROCHESTER HIL MI,8
KROGER FUEL #9651 CLARKSTON MI,8
KROGER FUEL #9754 SHELBY TOWNSH MI,8
"M-24 & SILVERBELL, INC LAKE ORION MI",8
SPEEDWAY 02238 M-59 AN ROCHESTER HIL MI,8
KROGER FUEL #9754 SHELBY TOWNSH MI,8
EXXONMOBIL 97306310 ROCHESTER HIL MI,8
SASHABAW CITGO CLARKSTON MI,8
EXXONMOBIL 97306310 ROCHESTER HIL MI,8
EXXONMOBIL 96098272 EAST LANSING MI,8
KROGER FUEL #9754 SHELBY TOWNSH MI,8
KROGER FUEL #9637 LAKE ORION MI,8
EXXONMOBIL 97306310 ROCHESTER HIL MI,8
KROGER FUEL #9651 CLARKSTON MI,8
KROGER FUEL #9754 SHELBY TOWNSH MI,8
MEIJER # 253 FUEL EAST LANSING MI,8
SHELL OIL 12734932002 CLARKSTON MI,8
SPEEDWAY 08830 ROCHEST ROCHESTER HIL MI,8
CoolYo Frozen Yogurt Auburn Hills MI,2
LAFAYETTE CONEY ISLAND DETROIT MI,2
AMERICAN CONEY ISLAND DETROIT MI,2
MCDONALD'S F15036 AUBURN HILLS MI,2
"LOUI'S PIZZA, INC. HAZEL PARK MI",2
MICHIGAN & TRUMBULL PI PITTSBURGH PA,2
OTTAVA VIA DETROIT MI,2
HOPCAT DETROIT DETROIT MI,2
SHIELDS PIZZA DETROIT DETROIT MI,2
THE WHITNEY DETROIT MI,2
THE WHITNEY DETROIT MI,2
CHIPOTLE 0724 ROCHESTER HIL MI,2
Subway 51139 Oakland Towns MI,2
SQ *DETROIT INSTITUTE Detroit MI,2
Astoria Pastry Shop-Mo Detroit MI,2
AMOCO#20995005564 WQPS DETROIT MI,8
EXXON 7-ELEVEN 34893 FORT MYERS FL,8
EXXON M-24 & SILVERBEL LAKE ORION MI,8
KROGER #650,1
MARKET@WORK 2067379149,2
MARKET@WORK 2067379149,2
MARKET@WORK 2067379149,2
MARKET@WORK 2067379149,2
WM SUPERCENTER #4424,1
Astoria Pastry Shop-Mo,2
MARKET@WORK 2067379149,2
MARKET@WORK 2067379149,2
FOR THE LOVE OF SUGAR,2
KROGER #650,1
MARKET@WORK 2067379149,2
LCA SPORTS LOUNGE,2
WHOLEFDS MDT #10465,1
MEIJER # 268,1
KROGER #650,1
MARKET@WORK 2067379149,2
TM *BILL BURR,3
MARKET@WORK 2067379149,2
KROGER #650,1
MEIJER # 237,1
MEIJER # 237,1
Subway 51139,2
BUSCH'S INC. #1097,1
MARK RIDLEYS COMEDY CA,3
SHIELDS PIZZA DETROIT,2
WM SUPERCENTER #2559,1
MARKET@WORK 2067379149,2
KROGER #650,1
TST* MI PUEBLO MEXICAN,2
MARKET@WORK 2067379149,2
MARKET@WORK 2067379149,2
KROGER #650,1
MARKET@WORK 2067379149,2
MARKET@WORK 2067379149,2
ZARA USA 11827,5
AMOCO#20995005564 WQPS,8
METRO VALET PARKING,8
BP#2158800PRIDE ROCQPS,8
SQ *MOMO CHA,2
SQ *BABO,2
WINGSTOP 1417,2
DOMINO'S 1035,2
SQ *THE RINK AT CAMPUS,3
MARKET@WORK 2067379149,2
MARKET@WORK 2067379149,2
SHIELDS PIZZA DETROIT,2
SHELL OIL 12478569002,8
HOPCAT DETROIT,2
MEIJER # 268,1
KROGER #650,1
CITY OF DETROIT MUN PA,8
TST* SHEWOLF PASTIFICI,2
KROGER #650,1
COSTCO GAS #0376   AUBURN HILLS  MI,8
COSTCO WHSE #0376  AUBURN HILLS  MI,1
COSTCO WHSE #0376  AUBURN HILLS  MI,1
MARKET@WORK 2067379149 RENTON  WA,2
COSTCO WHSE #0393  MADISON HEIGH MI,1
COSTCO WHSE #0393  MADISON HEIGH MI,1
AUNTIE ANNES #MI140  ALLEN PARK  MI,2
TARGET  00002824 MADISON HEIGH MI,1
COSTCO GAS #0393   MADISON HEIGH MI,8
COSTCO WHSE #0393  MADISON HEIGH MI,1
COSTCO WHSE #0393  MADISON HEIGH MI,1
MAD NICE   DETROIT   MI,2
TARGET  00002790 DEARBORN  MI,1
MEIJER # 233   ALLEN PARK  MI,1
MARKET@WORK 2067379149 RENTON  WA,2
EB WAYNE LAW BARRISTE  8014137200  CA,3
AMOCO#20995005564 WOOD DETROIT   MI,8
BERNADINE PICKETT PLLC 248-752-4881  MI,7
MARKET@WORK 2067379149 RENTON  WA,2
MARKET@WORK 2067379149 RENTON  WA,2
KROGER #650  OAKLAND TWP   MI,1
MARKET@WORK 2067379149 RENTON  WA,2
MARKET@WORK 2067379149 RENTON  WA,2
MARKET@WORK 2067379149 RENTON  WA,2
FOREIGN TRANSACTION FEE,7
AMZN MKTP US AMZN.COM/ AMZN.COM/BILL WA,5
TICKETMASTER CANADA HO TORONTO CAN,3
AMZN MKTP US*KJ4M98WB3 AMZN.COM/BILL WA,5
AMAZON.COM*PX8DK1GE3 A AMZN.COM/BILL WA,5
TM *DOMINIC FIKE 800-653-8000 CA,3
BP#8436073D AND S QPS ORTONVILLE MI,8
SQ *PARK SHELTON Detroit MI,7
EXXON SHELBY GET & GO SHELBY TOWNSH MI,8
DETROIT TIGERS DETROIT MI,3
LAKEVILLE MARKET & LIQ LEONARD MI,1
CITY OF FERNDALE PARKI DETROIT MI,8
MCDONALD'S M4779 OF ROCHESTER HIL MI,2
SPEEDWAY 08830 ROCHEST ROCHESTER HIL MI,8
TST* Tigerlily Ferndale MI,2
KROGER FUEL #9754 SHELBY TOWNSH MI,8
WAL-MART #5376 TAWAS CITY MI,1
SHELL OIL 521407000QPS HALE MI,8
EXXON M-24 & SILVERBEL LAKE ORION MI,8
MEMBERSHIP FEE JUN 23-MAY 24,7
SPIRIT A48703519525810 MIRAMAR FLNAME: KLOTZ/J DEPART:07/20/2023 FLL TO DTW: NK: CLASS:R : STOP: X DTW TO FLL: NK: CLASS:R : STOP: X,6
LYFT   *1 RIDE 08-18,6
LYFT   *1 RIDE 08-13,6
LYFT   *1 RIDE 08-12,6
LYFT   *INCREASE TIP,6
7-ELEVEN 36924,6
LYFT *1 RIDE 03-10,6
TRADER JOE S #665  GROSSE POINTE MI,1
AIRGARAGE PARKING  HTTPSAIRGARAG CA,7
SQ *DETROIT AXE/THE YA Detroit   MI,2
Astoria Pastry Shop-Mo Detroit   MI,2
BERNADINE PICKETT PLLC 248-752-4881  MI,7
COSTCO GAS #0376   AUBURN HILLS  MI,8
COSTCO WHSE #0376  AUBURN HILLS  MI,1
COSTCO WHSE #0376  AUBURN HILLS  MI,1
CHIPOTLE 3692  DETROIT   MI,2
TST* SICILYS PIZZERIA  Detroit   MI,2
MERCURY BURGER BAR   DETROIT   MI,2
CITGO F & S FUEL & FOO DETROIT   MI,2
CVS/PHARMACY #08234  OAKLAND TWP.  MI,4
ANNUAL MEMBERSHIP FEE,7
MEIJER # 237   WARREN  MI,1
RIVERTOWNMARKET 651  DETROIT   MI,1
KROGER #650  OAKLAND TWP   MI,1
COSTCO WHSE #0393  MADISON HEIGH MI,1
COSTCO WHSE #0393  MADISON HEIGH MI,1
CVS/PHARMACY #08234  OAKLAND TWP.  MI,4
AIRBNB  HMETYPT58J   AIRBNB.COM  CA,6
AIRBNB  HMCFWXJ52C   AIRBNB.COM  CA,6
SQ *PARK SHELTON   Detroit   MI,7
COSTCO GAS #0376   AUBURN HILLS  MI,8
COSTCO WHSE #0376  AUBURN HILLS  MI,1
COSTCO WHSE #0376  AUBURN HILLS  MI,1
MCDONALD'S F36102  DETROIT   MI,2
COSTCO GAS #0376   AUBURN HILLS  MI,8
COSTCO WHSE #0376  AUBURN HILLS  MI,1
COSTCO WHSE #0376  AUBURN HILLS  MI,1
COSTCO WHSE #0393  MADISON HEIGH MI,1
COSTCO WHSE #0393  MADISON HEIGH MI,1
THE SALVATION ARMY 19  ROYAL OAK   MI,5
TST* SAKANA SUSHI LOUN 248-336-2555  MI,2
SHIELDS PIZZA DETROIT  DETROIT   MI,2
AMOCO#20995005564 WOOD DETROIT   MI,8
BERNADINE PICKETT PLLC 248-752-4881  MI,7
KROGER #704  SHELBY TWP  MI,1
TRADER JOE S #668  ROCHESTER HIL MI,1
LIME*RIDE  HTTPSWWW.LI.M CA,6
LIME*RIDE  HTTPSWWW.LI.M CA,6
BUSCH'S INC. #1097   ROCHESTER   MI,1
Astoria Pastry Shop  Royal Oak   MI,2
CITY OF FERNDALE PARKI DETROIT   MI,7
MARKET@WORK 2067379149 RENTON  WA,2
MARKET@WORK 2067379149 RENTON  WA,2
SQ *PARK SHELTON   Detroit   MI,7
KROGER #743  ROYAL OAK   MI,1
KROGER #492  ROCHESTER   MI,1
SEC OF STATE BRANCH 16 ROCHESTER HIL MI,7
ELAVON *SERVICE FEE  678-7315000   GA,7
LIME*RIDE  HTTPSWWW.LI.M CA,6
MEIJER STORE #680  LAKE ORION  MI,1
AMZN Mktp US*O79QD5X53 Amzn.com/bill WA,5
THE SALVATION ARMY 7   ROCHESTER HLS MI,5
COSTCO GAS #0376   AUBURN HILLS  MI,8
COSTCO WHSE #0376  AUBURN HILLS  MI,1
KROGER #650  OAKLAND TWP   MI,1
BELDING CLEANERS   131-38225800  MI,7
KROGER #784  GROSSE POINTE MI,1
CSC SERVICEWORK  AUBURN HILLS  MI,7
KROGER #704  SHELBY TWP  MI,1
AMOCO#20995005564 WOOD DETROIT   MI,8
MEIJER # 260   ROCHESTER HLS MI,1
BERNADINE PICKETT PLLC 248-752-4881  MI,7
KROGER #784  GROSSE POINTE MI,1
ROCCOS ITALIAN DELI LL DETROIT   MI,2
MCDONALD'S F34783  DETROIT   MI,2
SQ *PARK SHELTON   Detroit   MI,7
KROGER #693  LINCOLN PARK  MI,1
AMOCO#20995005564 WOOD DETROIT   MI,8
THE SALVATION ARMY 7   ROCHESTER HLS MI,5
POLISHED LOUNGE LLC  clover.com  MI,7
COSTCO GAS #0393   MADISON HEIGH MI,8
COSTCO WHSE #0393  MADISON HEIGH MI,1
MARATHON PETRO272344   ROCHESTER HIL MI,8
8891 RETRO FIT ROCHEST ROCHESTER   MI,0
Alex  Emilio LLC   Royal Oak   MI,7
SQ *PARK SHELTON   Detroit   MI,7
POLISHED LOUNGE LLC  DETROIT   MI,7
TACO BELL 27668  ROCHESTER HLS MI,2
KROGER #492  ROCHESTER   MI,1
PAPA JOES OAKLAND LLC ROCHESTER HIL MI,1
NEETCODE   HTTPSNEETCODE WA,7
AMOCO#20995005564 WOOD DETROIT   MI,8
KROGER #650  OAKLAND TWP   MI,1
BP#2151900TOMA & SONS  ROCHESTER   MI,8
MARKET@WORK 2067379149 RENTON  WA,2
AMZN Mktp US*TI1LC55K3 Amzn.com/bill WA,5
MEIJER # 268   DETROIT   MI,1
MEIJER 268 *PRODDESC 877-363-4537 MI,1
MARSHALLS #0198 DETROIT MI,5
WALGREENS #4512 WARREN MI,4
KROGER #743 ROYAL OAK MI,1
MEIJER # 268 DETROIT MI,1
CHARMINAR EXPRESS DETROIT MI,2
RITE AID 04595 DETROIT MI,4
SQ *THE RED HOOK MIDTOWN Detroit MI,2
FARMER'S FRIDGE 3122290099 IL,2
DEPOP WWW.DEPOP.COMNY,5
DEPOP WWW.DEPOP.COMNY,5
URBANOUTFITTERS.COM 800-282-2200 PA,5
URBANOUTFITTERS.COM 800-282-2200 PA,5
DEPOP WWW.DEPOP.COMNY,5
COLLEGE TRANSCRIPT 703-742-4200 VA,7
COSTCO WHSE #0393 MADISON HEIGHMI,1
WALGREENS.COM PHOTO #1624800-289-2273 IL,4
MARSHALLS #0235 ROCHESTER MI,5
DEPOP WWW.DEPOP.COMNY,5
RITE AID 04595 DETROIT MI,4
DEPOP WWW.DEPOP.COMNY,5
DEPOP WWW.DEPOP.COMNY,5
MEIJER # 268 DETROIT MI,1
MACYS .COM 800-289-6229 OH,5
EARTHBREEZE.COMEARTHBREEZE.COR,7
EARTHBREEZE.COMEARTHBREEZE.COR,7
EARTHBREEZE.COMEARTHBREEZE.COR,7
EARTHBREEZE.COM EARTHBREEZE.COR,7
RIVERTOWNMARKET 651 DETROIT MI,1
CALVINKLEIN.COM 866-5130513 NY,5
TRADER JOE S #668 ROCHESTER HILMI,1
CVS/PHARMACY #08076 ROCHESTER MI,4
KROGER #492 ROCHESTER MI,1
GFS STORE #0947 ROCHESTER HILMI,1
TJMAXX #0286 ROCHESTER HILMI,5
SP STRAWBERRY MILK MOB VANCOUVER BC,5
CHIPOTLE 0724 ROCHESTER HILMI,2
MARSHALLS #0235 ROCHESTER MI,5
THE SALVATION ARMY 7 ROCHESTER HLSMI,5
TARGET 00003517 ROCHESTER MI,1
SUNOCO 0100497700 ROCHESTER MI,8
TARGET 00003517 ROCHESTER MI,1
SQ *SHAKE SHACK Detroit MI,2
SP PRINCESS POLLY HTTPSPRINCESSCA,5
ULTA #342 ALLEN PARK MI,5
TARGET 00020339 ALLEN PARK MI,1
ARA WAYNE MIDTOWN MARKET DETROIT MI,2
TST* GIVE THANKS BAKERY-DDetroit MI,2
RITE AID 04595 DETROIT MI,4
WHOLEFDS MDT #10465 DETROIT MI,1
Common Pub Detroit MI,2
1FORD FIELD DETROIT MI,3
1FORD FIELD DETROIT MI,3
MEIJER # 268 DETROIT MI,1
TST* IMA - MIDTOWN DETROIT MI,2
SQ *SPKRBOX Detroit MI,2
SQ *SPKRBOX Detroit MI,2
Common Pub Detroit MI,2
DEPOP WWW.DEPOP.COMNY,5
MARSHALLS #0198 DETROIT MI,5
CHARTREUSE KITCHEN & COC DETROIT MI,2
MEIJER # 268 DETROIT MI,1
AMOCO#20995005564 WOODWA DETROIT MI,8
OLD NAVY ON-LINE 800-6536289 OH,5
EARTHBREEZE.COM EARTHBREEZE.COR,7
ARA WAYNE SBUCKS SC DETROIT MI,2
MEIJER # 268 DETROIT MI,1
THE BRAKEMAN DETROIT MI,2
LS THE PEACOCK ROOM 313-3153061 MI,2
WWW.LAFERIADETROIT.COMWWW.LAFERIADEMI,5
RIVERTOWNMARKET 651 DETROIT MI,1
RITE AID 04595 DETROIT MI,4
WHOLEFDS MDT #10465 DETROIT MI,1
MEIJER 268 *PRODDESC 877-363-4537 MI,1
WEST ACADEMIC 877-888-1330 TX,7
STARBUCKS 800-782-7282 800-782-7282 WA,2
MARSHALLS #0198 DETROIT MI,5
Zara.com New York NY,5
TST* EATORI MARKET Detroit MI,2
URBANOUTFITTERS.COM 800-282-2200 PA,5
MEIJER 268 *PRODDESC 877-363-4537 MI,1
RSW SANIBEL MARKETPLAC FORT MYERS FL,1
TST* SMUGGLERS COVE ADVENFort Myers BeFL,3
PUBLIX #1564 FORT MYERS FL,1
WALGREENS #6913 FORT MYERS FL,4
SP JACOBSEN SALT CO. HTTPSJACOBSENOR,7
STARBUCKS STORE 11482 FORT MYERS FL,2
Glassons Newmarket,5
PUBLIX #1564 FORT MYERS FL,1
CIRQUE ENTERTAINMENT VI BRADENTON FL,3
SOCIETY6.COM SOCIETY6.COM CA,5
SQ *BEACH TOWN ENTERPRISEFort Myers FL,7
SQ *RUDOLPH RICHARDS Fort Myers FL,5
SQ *LEE'S BAG Fort Myers FL,5
PUBLIX #1564 FORT MYERS FL,1
CIRQUE ENTERTAINMENT VI BRADENTON FL,3
CHICK FIL A DTW DETROIT MI,2
DET MARKETPLACE DETROIT MI,1
DAVES HOT CHICKEN 0 1041 DEARBORN MI,2
WESTBORN MARKET 43106 DEARBORN MI,1
Zara.com New York NY,5
B&N BOOKST WSU-WARR #7409313-577-2436 MI,7
RITE AID 04595 DETROIT MI,4
WHOLEFDS MDT #10465 DETROIT MI,1
HOPCAT DETROIT 313-7698828 MI,2
ULTA #351 ROCHESTER HILMI,5
MJR STUDIO BAR-U WARREN MI,3
TJMAXX #0286 ROCHESTER HILMI,5
MEIJER # 057 ROCHESTER HLSMI,1
A&F / HCO OHIO OH,5
TARGET 00003517 ROCHESTER MI,1
TARGET 00003517 ROCHESTER MI,1
ARITZIA.COM 855-274-8942 NY,5
ARITZIA.COM 855-274-8942 NY,5
NEWS & GIFTS ST2848 ORLANDO FL,5
CPK ATO SJO P8 ALAJUELA,2
CAFE Y BAKERY P8 ATO SJO ALAJUELA,2
DUTY FREE IMAS CR AIJS DOALAJUELA,7
EARTHBREEZE.COM EARTHBREEZE.COR,7
HECHO A MANO GUANACASTE,2
NEWS & GIFTS ST2848 ORLANDO FL,5
KROGER #754 SHELBY TOWNSHMI,1
MANNYS LIQUOR SHOPPE ROCHESTER MI,2
BUSCH'S INC. #1097 ROCHESTER MI,1
Leo's Coney Island-RochesRochester HilMI,2
TRADER JOE S #668 ROCHESTER HILMI,1
FIFTH AVENUE ROYAL OAK ROYAL OAK MI,3
WALGREENS #9125 ROCHESTER HILMI,4
KROGER #492 ROCHESTER MI,1
BRUEGGERS 3748 ROCHESTER HILMI,2
WALGREENS #9125 ROCHESTER HILMI,4
WALGREENS #9125 ROCHESTER HILMI,4
TST* PITA WAY - ROCHESTERRochester HilMI,2
BP#6896120TOMA & SONS EN ROCHESTER MI,8
ASCENSION RX 1313 ROCHESTER MI,4
BUFFALO WILD ECOM 3410 586-781-0591 MI,2
CONTEMPORARY OBSTETRIC ROCHESTER MI,7
SID GOLD'S REQUEST ROOM DETROIT MI,2
SID GOLD'S REQUEST ROOM DETROIT MI,2
WALGREENS #9125 ROCHESTER HILMI,4
THE SALVATION ARMY 7 ROCHESTER HLSMI,5
MCDONALD'S F20757 DETROIT MI,2
KROGER #492 ROCHESTER MI,1
TIN ROOF DETROIT LLC DETROIT MI,2
TIN ROOF DETROIT LLC DETROIT MI,2
CITY OF DETROIT MUN PARKIDETROIT MI,2
HOPCAT DETROIT 313-7698828 MI,2
WALGREENS #9125 ROCHESTER HILMI,4
BRUEGGERS 3748 ROCHESTER HILMI,2
KROGER #492 ROCHESTER MI,1
ULTA #351 ROCHESTER HILMI,5
MCDONALD'S F3612 ROCHESTER HILMI,2
SP PRINCESS POLLY HTTPSPRINCESSCA,5
SQ *THE COMMENCEMENT GROUNew York NY,5
MCDONALD'S F33596 TROY MI,2
BRANDY MELVILLE 310-773-5405 NJ,5
TONY VS TAVERN DETROIT MI,2
AMOCO#2099500WOODWARD AM DETROIT MI,8
MEIJER 268 *PRODDESC 877-363-4537 MI,1
AMOCO#2099500WOODWARD AM DETROIT MI,8
TONY VS TAVERN DETROIT MI,2
TST* GIVE THANKS BAKERY-DDetroit MI,2
ARA WAYNE SBUCKS SC DETROIT MI,2
TST* LEOS CONEY ISLAND - Detroit MI,2
SQ *THE BALTIMORE Detroit MI,2
SQ *THE BALTIMORE Detroit MI,2
CINEMARK THEATRES 1127 TAYLOR MI,3
MEIJER # 035 TAYLOR MI,1
RITE AID 04595 DETROIT MI,4
Common Pub Detroit MI,2
TONY VS TAVERN DETROIT MI,2
EARTHBREEZE.COMEARTHBREEZE.COR,7
INTEREST CHARGED ON PURCHASES,7
FOREIGN FEE ADJUSTMENT MAY 2023,7
INTEREST REF PURCHASES MAY 2023,7
